transaction_id,order_id,date,type,gross_amount,fee,net_amount,currency
tx_10001,ord_8801,2026-01-05,sale,150.00,4.65,145.35,USD
tx_10002,ord_8802,2026-01-06,sale,420.00,12.48,407.52,USD
tx_10003,ord_8803,2026-01-08,sale,1200.00,35.10,1164.90,USD
tx_10004,ord_8804,2026-01-10,sale,85.00,20.00,65.00,USD
tx_10005,,2026-01-12,refund,-250.00,0.00,-250.00,USD
tx_10006,ord_8803,2026-01-14,refund,-600.00,0.00,-600.00,USD
tx_10007,ord_8803,2026-01-16,refund,-700.00,0.00,-700.00,USD
tx_10008,ord_8805,2026-01-18,sale,300.00,8.90,280.00,USD
tx_10009,ord_8806,2026-01-20,sale,550.00,16.25,533.75,USD
tx_10010,ord_8806,2026-01-21,refund,-550.00,0.00,-550.00,USD
tx_10010,ord_8806,2026-01-21,refund,-550.00,0.00,-550.00,USD
tx_10011,ord_8806,2026-01-23,refund,-550.00,0.00,-550.00,USD
tx_10012,ord_8807,2026-01-25,chargeback,-180.00,15.00,-195.00,USD
tx_10013,ord_8808,2026-01-28,sale,90.00,-5.00,95.00,USD
tx_10014,ord_8809,2026-01-30,payout,-3500.00,0.00,-3500.00,USD
